ClienteNombre,ProductoDescripcion,Cantidad,UnidadMedida,Direccion,Latitud,Longitud,CamionPlaca
CONSTRUCTORA PENINSULAR,CEMENTO PORTLAND,50,BOLSA,Av Principal 123 Caracas,10.4806,-66.9036,XYZ-789
FERRETERIA CARIBE,AGREGADO ARENA,5,M3,Calle 2 con 3 Maracay,10.2469,-67.5958,ABC-456
MATERIALES DEL CENTRO,ACERO ESTRUCTURAL,1.5,TON,Centro Comercial Valencia,10.1617,-68.0032,XYZ-789
DISTRIBUIDORA OCCIDENTE,CABILLA 12MM,200,PIEZA,Zona Industrial Barquisimeto,10.0647,-69.3570,DEF-123
CONSTRUCCIONES MODERNAS,AGREGADO PIEDRA,4,M3,Urbanizacion El Paraiso,10.4986,-66.8544,ABC-456
ACEROS Y PERFILES CA,VIGA DE ACERO,2.2,TON,Av Libertador 456,10.5011,-66.9170,GHI-789
FERRETERIA NACIONAL,CEMENTO RAPIDO,30,BOLSA,Centro Comercial Los Ruices,10.4880,-66.8406,XYZ-789
MATERIALES ORIENTE,CABILLA 16MM,300,PIEZA,Calle Real Guarenas,10.4727,-66.6145,ABC-456
DISTRIBUIDORA REGIONAL,ARENA LAVADA,6,M3,Zona Industrial Valencia,10.1804,-68.0041,DEF-123
CONSTRUCCIONES IMPERIO SA,ACERO CORRUGADO,1.95,TON,Av Sucre Los Teques,10.3544,-67.0428,GHI-789
FERRETERIA LA PRADERA,CEMENTO GRIS,35,BOLSA,Av Universidad Caracas,10.4896,-66.8938,XYZ-789
ACEROS DEL CENTRO,CABILLA 20MM,250,PIEZA,Parque Industrial,10.2333,-67.5750,ABC-456
MATERIALES PREMIUM CA,PIEDRA PICADA,3.5,M3,Centro Ciudad,10.5072,-66.9135,DEF-123
DISTRIBUIDORA ANZOATEGUI,PERFIL DE ACERO,1.1,TON,Zona Este Barcelona,10.1341,-64.6861,GHI-789
CONSTRUCCIONES DELTA,CEMENTO BLANCO,40,BOLSA,Av Bolivar Maracaibo,10.6316,-71.6402,XYZ-789
FERRETERIA MODERNA,GRAVA,3,M3,Centro Comercial Sambil,10.4961,-66.8472,ABC-456
ACEROS Y TUBOS CA,TUBO DE ACERO,2.1,TON,Zona Industrial,10.1750,-68.0025,DEF-123
MATERIALES EXPRESS,CABILLA 8MM,180,PIEZA,Av Intercomunal,10.4750,-66.9125,GHI-789
DISTRIBUIDORA SUR,CEMENTO ESTRUCTURAL,45,BOLSA,Calle Principal Guarenas,10.4689,-66.6203,XYZ-789
CONSTRUCCIONES FUTURO,ARENA DE RIO,5.5,M3,Urbanizacion Los Naranjos,10.4833,-66.8333,ABC-456
